bnumber,heat_shock,IPTG,anaerobic,NaCL,log_phase
B0393,-1.635693,-0.292667,-0.256836,-1.098287,0.0
B0394,-1.849194,-0.639031,0.69579,-0.413585,2.211731
B0398,4.592093,0.0,0.0,-0.163831,0.0
B0399,4.573537,-0.274805,0.750831,1.345739,0.0
B0400,3.749371,-0.947805,0.533818,1.992348,0.0
B0401,-1.01428,-0.012502,1.333468,0.840789,-3.567909
B0402,0.12586,-0.270253,0.608405,0.275067,-1.31123
B0403,0.43765,0.351988,-0.152851,0.809582,-1.766033
B0405,-2.150611,0.240252,0.28179,0.52106,-1.495322
B0406,-0.13396,-0.278938,0.663194,-0.40185,-1.641385
B0407,-0.931137,-0.552825,0.280527,-0.560822,-2.810756
B0408,-1.568108,-0.386706,0.220476,0.080375,-2.332017
B0409,-0.059931,0.0,0.280331,0.163743,-1.71604
B0411,-2.792149,-0.464404,0.42896,-1.818555,-1.400604
B0413,-0.663129,-0.195758,-0.06920800000000001,0.324399,-1.096052
B0414,0.089668,-0.238613,-0.201952,0.304727,-0.607506
B0415,0.999308,0.0,-0.036211,-1.020437,-1.742415
B0416,1.588427,-0.148821,-0.114442,-0.550087,-0.909281
B0417,-0.968953,-0.31366,-0.056608,-0.75091,0.0
B0418,-0.070245,0.0,0.310712,0.044145,-0.59067
B0419,-3.000751,-0.218761,0.383416,-0.546146,2.091429
B0420,-3.138346,-0.247716,0.082188,0.140523,-0.93082
B0421,-2.851236,-0.254966,0.08561299999999999,-0.091071,-1.968785
B0422,-2.825589,-0.046242,0.065805,-0.045009,0.201134
B0423,-2.717161,-0.122208,0.662818,-1.55553,-0.512453
B0424,-2.263395,0.002089,-0.405696,0.453323,-1.631384
B0425,-2.709812,0.0,-0.130257,0.630537,-1.590025
B0426,-0.037868,0.570472,0.017493,0.013356,-2.954315
B0427,1.015722,0.701614,-0.289996,0.157551,0.0
B0428,0.0,-0.386044,-3.425953,-0.829407,-0.245049
B0429,0.0,0.7585,-3.702942,-0.718208,-0.44961
B0430,3.69712,-0.020913,-1.74243,-0.06077,0.117544
B0431,1.099996,-0.124403,-5.141201,-0.123805,-0.692076
B0432,0.0,0.033308,-5.164516,-0.175257,-0.4752
B0433,-2.019366,-0.028681,-0.254331,0.153237,-0.976706
B0434,-4.242962,0.010218,0.018802,-0.06973,-2.098323
B0435,1.576666,-0.111843,0.048654,-2.021071,-0.8138
B0436,-0.241478,0.06954299999999999,0.553747,-0.713257,-4.003488
B0437,0.989717,-0.06496200000000001,0.377046,0.016932,-0.301449
B0438,1.434702,-0.333056,0.330859,0.655569,-0.564661
B0439,3.160552,-0.067431,0.704923,0.700993,0.657148
B0440,0.452796,0.059434,0.55182,-0.683238,-0.426933
B0442,0.0,0.683593,0.0,2.161565,2.190823
B0444,-1.567306,0.079703,-0.611842,-0.422855,1.668292
B0445,0.0,-0.225254,-0.052085,-0.425857,3.408883
B0449,-0.843235,0.03691,-0.260624,1.095458,0.0
B0452,-1.632242,0.0,-0.338994,0.410276,-1.001184
B0454,-1.386041,0.115597,0.0,0.732228,-1.007964
B0457,0.0,0.158308,-0.6252760000000001,-2.094525,0.0
B0458,0.0,0.053722,-0.837296,-0.37228,1.45934
B0459,0.0,0.117009,0.0,-0.674363,0.0
B0460,-1.72953,0.446288,-0.29082,0.421602,-1.462556
B0461,0.0,0.32502,-0.3304,0.179425,0.0
B0464,0.271529,0.0,0.536647,0.663666,0.0
B0467,-1.374209,0.0,0.077046,0.393062,0.0
B0469,0.119677,-0.224386,0.935131,-0.736263,-1.287518
B0471,-3.33308,-0.242842,0.034745,-0.57616,-2.938939
B0472,-1.075363,-0.444067,-0.055195,-0.226124,-2.277346
B0474,-1.756423,0.273199,0.207677,-2.000423,-2.998025
B0475,0.0,-0.897024,0.0,-0.342179,0.0
B0477,-2.057502,1.05948,0.466691,0.411883,-0.876536
B0478,-2.332814,-1.054355,1.177035,-0.264305,-0.794883
B0479,-1.743593,0.28323,-0.07479,0.818042,0.0
B0480,0.054259,0.300779,0.175148,0.398583,0.948895
B0481,-1.037093,0.0,-0.047221,-0.323453,0.0
B0482,1.183142,-0.509363,-0.216094,0.088157,0.0
B0483,-1.1775,-0.91229,-0.049813,-0.250826,0.0
B0484,-0.127109,0.342669,-2.97324,1.702834,-0.9856009999999999
B0485,0.10905,-0.029916,-1.0698,2.493289,0.0
B0487,-1.264789,0.145359,-0.673592,0.533502,-0.854135
B0489,1.029879,-0.632594,-0.175499,0.757049,0.0
B0490,-0.992698,-0.143664,-0.010864,0.103076,0.0
B0492,2.68668,0.07369000000000001,0.117679,1.169996,1.388486
B0493,-2.399046,0.13947,-0.120961,1.001949,-0.908981
B0494,-1.975777,0.468917,-0.23881,1.611908,-1.143446
B0503,0.258362,-0.481717,0.733013,-0.423014,0.0
B0506,-1.406005,0.257673,-0.597718,0.482476,-1.479942
B0512,0.0,0.0,0.0,0.511606,0.0
B0514,0.688766,0.0,0.043657,0.451853,-0.604795
B0522,-0.981214,0.23988,0.380834,-1.829484,-2.447672
B0523,-0.490759,0.0,0.678418,-1.686039,-1.898073
B0524,-1.199822,0.09303500000000001,-0.763166,-0.241256,-1.01086
B0525,-4.653732,0.489368,0.141174,-1.844806,-2.541783
B0526,-0.225504,0.604583,0.547275,-1.084105,-1.378073
B0529,0.05858,0.155214,0.27638,-1.411996,-1.400887
B0537,-0.172874,-0.113803,0.42384,-1.016965,-0.547694
B0541,-1.795046,-0.272271,0.302037,-1.254718,-0.872295
B0552,0.132702,0.12094,0.292258,0.003924,-0.07448
B0553,-0.158677,0.473133,0.624644,-1.195332,0.505565
B0557,-0.952043,-0.214973,1.869879,-2.510519,-0.8754769999999999
B0564,1.200114,0.0,0.775863,0.0,0.0
B0568,3.058012,-0.065191,0.311501,0.265611,0.0
B0569,0.0,0.0,0.0,0.198084,0.0
B0570,-0.983247,0.0,0.489738,0.677254,0.0
B0571,1.168615,0.35284,-0.082048,0.35735,0.0
B0572,0.378162,0.0,-0.591774,-0.128856,0.0
B0573,0.0,0.0,-0.949047,-0.296921,0.0
B0575,1.486744,0.0,0.0,0.305235,0.0
B0576,0.0,-0.09388199999999999,0.460053,1.57192,0.0
B0577,-2.223812,0.089341,-0.503995,2.324441,-0.982619
B0578,-1.159329,0.130556,0.018274,-0.264882,-2.732508
B0582,3.125544,-0.293995,0.656982,-0.437243,-1.273734
B0584,1.448987,-0.776382,0.787208,0.267609,-2.491139
B0585,0.235547,0.193533,0.350057,-0.984565,-1.34774
B0590,0.0,0.0,0.070855,0.168313,-1.281749
B0591,0.0,-1.681777,0.0,-0.327913,-0.519248
B0592,0.0,0.015785,0.256304,0.31912,-2.124853
B0593,0.0,0.0,0.0,0.0,-3.251256
B0594,0.0,-0.100557,-0.036485,0.120176,-1.494765
B0595,0.0,0.0,0.0,0.0,-2.993884
B0596,0.0,-0.46527,0.0,-0.089641,-2.703266
B0598,0.0,-0.991236,-1.15021,-2.55055,4.563932
B0599,0.931911,-0.633059,0.07542699999999999,-0.559318,3.262038
B0600,0.870783,0.0,0.500606,-0.019041,0.0
B0604,-1.845845,0.0,-0.702606,0.255818,-0.647601
B0605,1.383028,0.096623,-1.01266,0.840247,-0.465046
B0606,-1.939106,-0.110631,-0.660139,0.017987,-0.273486
B0607,1.751275,-0.405378,0.097413,0.134793,0.0
B0609,-2.481917,-0.54291,0.0,-1.015783,-0.490489
B0610,-0.571338,-0.456153,0.0,-0.462287,-0.6177820000000001
B0611,-2.805043,0.705191,0.1872,-0.405847,-1.575101
B0612,2.138761,-0.594754,-0.391728,0.789479,0.0
B0613,0.0,-0.254643,0.09371400000000001,1.330398,0.0
B0620,0.937983,0.0,0.6036899999999999,-0.056326,-0.622575
B0621,-3.732655,-0.670212,0.924118,0.000381,-1.502199
B0624,0.800268,0.0,0.47619,-0.156536,0.0
B0627,0.602719,0.0,0.232677,0.572752,0.370958
B0628,-2.86949,-0.3676,-0.250892,0.441044,-0.296024
B0632,-1.778477,-0.025259,0.215499,-0.02933,-2.183745
B0633,-0.7178639999999999,-0.484555,-0.226266,-0.498015,-2.411968
B0634,-1.432421,0.346902,-0.045032,0.914436,-0.773442
B0635,-2.218356,-0.201292,-0.305348,1.202566,-1.604156
B0636,-1.581693,-0.394931,-1.037118,0.493381,-1.490489
B0638,0.0,0.0,0.0,0.060583,0.0
B0639,-1.408409,0.29593,-0.086753,0.041067,-1.214673
B0640,-0.124466,0.042017,-0.270783,0.264067,-2.320002
B0641,-3.076674,-0.745638,-0.333702,-0.163466,-1.940712
B0642,-2.299191,0.001558,-0.324568,-0.32541,-1.754913
B0643,1.2423,-0.25027,0.0,0.265212,3.512955
B0650,1.568771,-0.129599,-0.029851,0.065292,0.0
B0651,-0.889505,-0.035538,0.0,-2.388395,-0.000026
B0652,-2.076674,0.0,-1.205976,-0.093305,-0.80604
B0653,-1.475913,0.0,-0.220446,0.118397,0.0
B0654,-1.999747,-1.580747,0.0,0.264757,0.362902
B0655,-3.299474,-0.312652,-2.12631,0.101468,1.623082
B0656,-0.638189,-0.095973,0.298953,-0.109397,-0.274134
B0657,-1.080161,-0.231207,0.161297,-0.281927,-0.948789
B0658,0.993099,-0.611283,0.172611,-0.196049,-0.000534
B0659,1.350523,-0.414765,0.5325220000000001,0.245143,-0.5724900000000001
B0660,2.783112,-0.413286,0.535344,0.288032,0.129562
